timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 22:56:30,0.00%,16.98MiB / 7.549GiB,0.22%,61.5MB / 64.8MB,0B / 0B
2025-07-11 22:56:43,0.47%,17.02MiB / 7.549GiB,0.22%,61.8MB / 65.1MB,0B / 0B
2025-07-11 22:56:54,0.61%,17.32MiB / 7.549GiB,0.22%,62.8MB / 66.2MB,0B / 0B
2025-07-11 22:57:06,0.83%,17.26MiB / 7.549GiB,0.22%,64.6MB / 68.1MB,0B / 0B
2025-07-11 22:57:18,1.02%,17.2MiB / 7.549GiB,0.22%,67.2MB / 70.8MB,0B / 0B
2025-07-11 22:57:30,1.52%,17.26MiB / 7.549GiB,0.22%,70.4MB / 74.2MB,0B / 0B
2025-07-11 22:57:42,1.43%,17.52MiB / 7.549GiB,0.23%,74.4MB / 78.4MB,0B / 0B
2025-07-11 22:57:53,1.70%,17.54MiB / 7.549GiB,0.23%,78.2MB / 82.4MB,0B / 0B
2025-07-11 22:58:05,1.72%,17.56MiB / 7.549GiB,0.23%,82.3MB / 86.7MB,0B / 0B
2025-07-11 22:58:17,1.49%,17.69MiB / 7.549GiB,0.23%,86.1MB / 90.7MB,0B / 0B
2025-07-11 22:58:29,1.73%,17.57MiB / 7.549GiB,0.23%,90.1MB / 95MB,0B / 0B
2025-07-11 22:58:40,1.58%,17.57MiB / 7.549GiB,0.23%,94MB / 99.1MB,0B / 0B
2025-07-11 22:58:53,2.73%,17.48MiB / 7.549GiB,0.23%,98MB / 103MB,0B / 0B
2025-07-11 22:59:04,1.58%,17.59MiB / 7.549GiB,0.23%,102MB / 107MB,0B / 0B
2025-07-11 22:59:16,1.73%,17.35MiB / 7.549GiB,0.22%,106MB / 111MB,0B / 0B
2025-07-11 22:59:28,1.67%,17.48MiB / 7.549GiB,0.23%,110MB / 116MB,0B / 0B
2025-07-11 22:59:40,1.42%,17.45MiB / 7.549GiB,0.23%,114MB / 120MB,0B / 0B
2025-07-11 22:59:52,1.19%,17.35MiB / 7.549GiB,0.22%,117MB / 123MB,0B / 0B
2025-07-11 23:00:03,1.15%,17.46MiB / 7.549GiB,0.23%,120MB / 126MB,0B / 0B
2025-07-11 23:00:15,0.73%,17.34MiB / 7.549GiB,0.22%,122MB / 128MB,0B / 0B
2025-07-11 23:00:27,0.43%,17.34MiB / 7.549GiB,0.22%,123MB / 129MB,0B / 0B
2025-07-11 23:00:39,0.00%,17.33MiB / 7.549GiB,0.22%,123MB / 130MB,0B / 0B
2025-07-11 23:00:50,0.00%,17.21MiB / 7.549GiB,0.22%,123MB / 130MB,0B / 0B
